price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,yr_sold
221900.0,3,1,1180.0,5650.0,1,0.0,0,3,7,1180.0,0.0,1955.0,0.0,47.5112,-122.257,2014
538000.0,3,2,2570.0,7242.0,2,0.0,0,3,7,2170.0,400.0,1951.0,1991.0,47.721,-122.319,2014
180000.0,2,1,770.0,10000.0,1,0.0,0,3,6,770.0,0.0,1933.0,0.0,47.7379,-122.233,2015
604000.0,4,3,1960.0,5000.0,1,0.0,0,5,7,1050.0,910.0,1965.0,0.0,47.5208,-122.393,2014
510000.0,3,2,1680.0,8080.0,1,0.0,0,3,8,1680.0,0.0,1987.0,0.0,47.6168,-122.045,2015
1225000.0,4,4,5420.0,101930.0,1,0.0,0,3,11,3890.0,1530.0,2001.0,0.0,47.6561,-122.005,2014
257500.0,3,2,1715.0,6819.0,2,0.0,0,3,7,1715.0,0.0,1995.0,0.0,47.3097,-122.327,2014
291850.0,3,1,1060.0,9711.0,1,0.0,0,3,7,1060.0,0.0,1963.0,0.0,47.4095,-122.315,2015
229500.0,3,1,1780.0,7470.0,1,0.0,0,3,7,1050.0,730.0,1960.0,0.0,47.5123,-122.337,2015
323000.0,3,2,1890.0,6560.0,2,0.0,0,3,7,1890.0,0.0,2003.0,0.0,47.3684,-122.031,2015
662500.0,3,2,3560.0,9796.0,1,0.0,0,3,8,1860.0,1700.0,1965.0,0.0,47.6007,-122.145,2015
468000.0,2,1,1160.0,6000.0,1,0.0,0,4,7,860.0,300.0,1942.0,0.0,47.69,-122.292,2014
310000.0,3,1,1430.0,19901.0,1,0.0,0,4,7,1430.0,0.0,1927.0,0.0,47.7558,-122.229,2014
400000.0,3,1,1370.0,9680.0,1,0.0,0,4,7,1370.0,0.0,1977.0,0.0,47.6127,-122.045,2014
530000.0,5,2,1810.0,4850.0,1,0.0,0,3,7,1810.0,0.0,1900.0,0.0,47.67,-122.394,2015
650000.0,4,3,2950.0,5000.0,2,0.0,3,3,9,1980.0,970.0,1979.0,0.0,47.5714,-122.375,2015
395000.0,3,2,1890.0,14040.0,2,0.0,0,3,7,1890.0,0.0,1994.0,0.0,47.7277,-121.962,2014
485000.0,4,1,1600.0,4300.0,1,0.0,0,4,7,1600.0,0.0,1916.0,0.0,47.6648,-122.343,2014
189000.0,2,1,1200.0,9850.0,1,0.0,0,4,7,1200.0,0.0,1921.0,0.0,47.3089,-122.21,2014
230000.0,3,1,1250.0,9774.0,1,0.0,0,4,7,1250.0,0.0,1969.0,0.0,47.3343,-122.306,2015
385000.0,4,1,1620.0,4980.0,1,0.0,0,4,7,860.0,760.0,1947.0,0.0,47.7025,-122.341,2014
2000000.0,3,2,3050.0,44867.0,1,0.0,4,3,9,2330.0,720.0,1968.0,0.0,47.5316,-122.233,2014
285000.0,5,2,2270.0,6300.0,2,0.0,0,3,8,2270.0,0.0,1995.0,0.0,47.3266,-122.169,2014
252700.0,2,1,1070.0,9643.0,1,0.0,0,3,7,1070.0,0.0,1985.0,0.0,47.3533,-122.166,2014
329000.0,3,2,2450.0,6500.0,2,0.0,0,4,8,2450.0,0.0,1985.0,0.0,47.3739,-122.172,2014
233000.0,3,2,1710.0,4697.0,1,0.0,0,5,6,1710.0,0.0,1941.0,0.0,47.3048,-122.218,2014
937000.0,3,1,2450.0,2691.0,2,0.0,0,3,8,1750.0,700.0,1915.0,0.0,47.6386,-122.36,2014
667000.0,3,1,1400.0,1581.0,1,0.0,0,5,8,1400.0,0.0,1909.0,0.0,47.6221,-122.314,2014
438000.0,3,1,1520.0,6380.0,1,0.0,0,3,7,790.0,730.0,1948.0,0.0,47.695,-122.304,2014
719000.0,4,2,2570.0,7173.0,2,0.0,0,3,8,2570.0,0.0,2005.0,0.0,47.7073,-122.11,2015
580500.0,3,2,2320.0,3980.0,2,0.0,0,3,8,2320.0,0.0,2003.0,0.0,47.5391,-122.07,2014
280000.0,2,1,1190.0,1265.0,3,0.0,0,3,7,1190.0,0.0,2005.0,0.0,47.7274,-122.357,2014
687500.0,4,1,2330.0,5000.0,1,0.0,0,4,7,1510.0,820.0,1929.0,0.0,47.6823,-122.368,2014
535000.0,3,1,1090.0,3000.0,1,0.0,0,4,8,1090.0,0.0,1929.0,0.0,47.6889,-122.375,2014
322500.0,4,2,2060.0,6659.0,1,0.0,0,3,7,1280.0,780.0,1981.0,0.0,47.4276,-122.157,2014
696000.0,3,2,2300.0,3060.0,1,0.0,0,3,8,1510.0,790.0,1930.0,2002.0,47.6827,-122.31,2014
550000.0,4,1,1660.0,34848.0,1,0.0,0,1,5,930.0,730.0,1933.0,0.0,47.6621,-122.132,2014
640000.0,4,2,2360.0,6000.0,2,0.0,0,4,8,2360.0,0.0,1904.0,0.0,47.6702,-122.362,2014
240000.0,4,1,1220.0,8075.0,1,0.0,0,2,7,890.0,330.0,1969.0,0.0,47.3341,-122.282,2015
605000.0,4,2,2620.0,7553.0,2,0.0,0,3,8,2620.0,0.0,1996.0,0.0,47.5301,-122.18,2014
625000.0,4,2,2570.0,5520.0,2,0.0,0,3,9,2570.0,0.0,2000.0,0.0,47.6145,-122.027,2014
775000.0,4,2,4220.0,24186.0,1,0.0,0,3,8,2600.0,1620.0,1984.0,0.0,47.445,-122.347,2014
861990.0,5,2,3595.0,5639.0,2,0.0,0,3,9,3595.0,0.0,2014.0,0.0,47.6848,-122.016,2014
685000.0,3,1,1570.0,2280.0,2,0.0,0,3,7,1570.0,0.0,1922.0,0.0,47.6413,-122.364,2014
309000.0,3,1,1280.0,9656.0,1,0.0,0,4,6,920.0,360.0,1959.0,0.0,47.4485,-122.175,2014
488000.0,3,2,3160.0,13603.0,2,0.0,0,3,8,3160.0,0.0,2003.0,0.0,47.7443,-121.977,2014
210490.0,3,1,990.0,8528.0,1,0.0,0,3,6,990.0,0.0,1966.0,0.0,47.3066,-122.371,2015
785000.0,4,2,2290.0,13416.0,2,0.0,0,4,9,2290.0,0.0,1981.0,0.0,47.6194,-122.151,2014
450000.0,3,1,1250.0,5963.0,1,0.0,0,4,7,1250.0,0.0,1953.0,0.0,47.6796,-122.301,2015
1350000.0,3,2,2753.0,65005.0,1,1.0,2,5,9,2165.0,588.0,1953.0,0.0,47.4041,-122.451,2015
228000.0,3,1,1190.0,9199.0,1,0.0,0,3,7,1190.0,0.0,1955.0,0.0,47.4258,-122.322,2014
345000.0,5,2,3150.0,9134.0,1,0.0,0,4,8,1640.0,1510.0,1966.0,0.0,47.4934,-122.189,2015
600000.0,3,1,1410.0,4080.0,1,0.0,0,4,7,1000.0,410.0,1950.0,0.0,47.6808,-122.384,2014
585000.0,2,1,1980.0,8550.0,1,0.0,0,3,7,990.0,990.0,1981.0,0.0,47.6989,-122.369,2015
920000.0,5,2,2730.0,6000.0,1,0.0,0,3,8,2130.0,600.0,1927.0,0.0,47.6571,-122.281,2015
885000.0,4,2,2830.0,5000.0,2,0.0,0,3,9,2830.0,0.0,1995.0,0.0,47.6597,-122.29,2014
292500.0,4,2,2250.0,4495.0,2,0.0,0,3,7,2250.0,0.0,2008.0,0.0,47.3663,-122.114,2014
301000.0,3,2,2420.0,4750.0,2,0.0,0,3,8,2420.0,0.0,2003.0,0.0,47.3663,-122.122,2015
951000.0,5,3,3250.0,14342.0,2,0.0,4,4,8,3250.0,0.0,1968.0,0.0,47.588,-122.116,2014
430000.0,4,3,1850.0,9976.0,2,0.0,0,3,8,1850.0,0.0,1991.0,0.0,47.5059,-122.149,2015
650000.0,3,2,2150.0,21235.0,1,0.0,3,4,8,1590.0,560.0,1959.0,0.0,47.4336,-122.339,2014
289000.0,3,1,1260.0,8400.0,1,0.0,0,3,7,1260.0,0.0,1954.0,0.0,47.4366,-122.335,2014
505000.0,3,1,2519.0,8690.0,2,0.0,0,5,8,2519.0,0.0,1973.0,0.0,47.4428,-122.344,2014
549000.0,3,1,1540.0,1044.0,3,0.0,0,3,8,1540.0,0.0,2014.0,0.0,47.6765,-122.32,2014
425000.0,3,2,1660.0,6000.0,1,0.0,0,3,7,1110.0,550.0,1979.0,0.0,47.6113,-122.297,2014
317625.0,3,2,2770.0,3809.0,1,0.0,0,5,7,1770.0,1000.0,1925.0,0.0,47.5747,-122.304,2014
975000.0,4,2,2720.0,11049.0,2,0.0,0,3,10,2720.0,0.0,1989.0,0.0,47.5815,-122.192,2014
287000.0,4,2,2240.0,4648.0,2,0.0,0,3,7,2240.0,0.0,2005.0,0.0,47.3378,-122.257,2014
204000.0,3,1,1000.0,12070.0,1,0.0,0,4,7,1000.0,0.0,1968.0,0.0,47.3621,-122.11,2014
1325000.0,5,2,3200.0,20158.0,1,0.0,0,3,8,1600.0,1600.0,1965.0,0.0,47.6303,-122.215,2014
1040000.0,5,3,4770.0,50094.0,1,0.0,0,4,11,3070.0,1700.0,1973.0,0.0,47.6525,-122.16,2014
325000.0,3,2,1260.0,5612.0,1,0.0,0,4,7,1260.0,0.0,1972.0,0.0,47.7362,-122.179,2015
571000.0,4,2,2750.0,7807.0,1,0.0,0,5,7,2250.0,500.0,1916.0,0.0,47.7168,-122.287,2014
360000.0,4,2,2380.0,5000.0,2,0.0,0,3,8,2380.0,0.0,2005.0,0.0,47.3608,-122.036,2014
349000.0,3,1,1790.0,50529.0,1,0.0,0,5,7,1090.0,700.0,1965.0,0.0,47.3511,-122.073,2015
832500.0,4,4,3430.0,35102.0,2,0.0,0,4,10,2390.0,1040.0,1986.0,0.0,47.5822,-121.987,2014
380000.0,4,1,1760.0,7300.0,1,0.0,0,3,7,880.0,880.0,1956.0,0.0,47.6034,-122.125,2014
480000.0,3,1,1040.0,5060.0,1,0.0,0,3,7,1040.0,0.0,1941.0,0.0,47.5636,-122.394,2015
410000.0,3,1,1410.0,5060.0,1,0.0,0,4,7,910.0,500.0,1956.0,0.0,47.7073,-122.34,2014
720000.0,4,2,3450.0,39683.0,2,0.0,0,3,10,3450.0,0.0,2002.0,0.0,47.342,-122.025,2015
390000.0,3,2,2350.0,5100.0,2,0.0,0,3,8,2350.0,0.0,2003.0,0.0,47.3512,-122.008,2014
360000.0,4,2,1900.0,5889.0,2,0.0,0,3,7,1900.0,0.0,1992.0,0.0,47.349,-122.031,2014
355000.0,2,1,2020.0,6720.0,1,0.0,0,3,7,1010.0,1010.0,1948.0,0.0,47.5474,-122.291,2014
356000.0,3,1,1680.0,8712.0,1,0.0,0,3,8,1680.0,0.0,1964.0,0.0,47.4811,-122.149,2015
315000.0,3,1,960.0,6634.0,1,0.0,0,3,6,960.0,0.0,1952.0,0.0,47.7264,-122.31,2014
940000.0,3,1,2140.0,3600.0,2,0.0,0,3,9,1900.0,240.0,1925.0,0.0,47.6337,-122.365,2014
305000.0,5,2,2660.0,8400.0,1,0.0,0,5,7,2660.0,0.0,1961.0,0.0,47.2909,-122.189,2014
461000.0,3,3,2770.0,6278.0,2,0.0,0,3,9,1980.0,790.0,2006.0,0.0,47.5228,-122.199,2014
215000.0,2,2,1610.0,2040.0,2,0.0,0,4,7,1610.0,0.0,1979.0,0.0,47.518,-122.194,2014
335000.0,2,1,1030.0,1066.0,2,0.0,0,3,7,765.0,265.0,2006.0,0.0,47.5394,-122.387,2014
243500.0,4,2,1980.0,7403.0,2,0.0,0,3,7,1980.0,0.0,1988.0,0.0,47.2897,-122.372,2014
1099880.0,5,2,3520.0,6353.0,2,0.0,0,4,10,3520.0,0.0,2001.0,0.0,47.6506,-122.391,2015
153000.0,3,1,1200.0,10500.0,1,0.0,0,3,7,1200.0,0.0,1962.0,0.0,47.322,-122.351,2015
430000.0,3,1,1580.0,5000.0,1,0.0,0,3,8,1290.0,290.0,1939.0,0.0,47.687,-122.386,2014
700000.0,3,1,1580.0,5000.0,1,0.0,0,3,8,1290.0,290.0,1939.0,0.0,47.687,-122.386,2014
905000.0,4,2,3300.0,10250.0,1,0.0,0,3,7,2390.0,910.0,1946.0,1991.0,47.5873,-122.249,2014
247500.0,3,1,1960.0,15681.0,1,0.0,0,3,7,1960.0,0.0,1967.0,0.0,47.3576,-122.277,2015
199000.0,4,1,1160.0,6400.0,1,0.0,0,4,7,1160.0,0.0,1975.0,0.0,47.3036,-122.378,2014
314000.0,3,1,1810.0,41800.0,1,0.0,0,5,7,1210.0,600.0,1980.0,0.0,47.4109,-121.958,2014
437500.0,3,2,2320.0,36847.0,2,0.0,2,3,9,2320.0,0.0,1992.0,0.0,47.4838,-121.714,2014
850830.0,3,2,2070.0,13241.0,1,0.0,0,5,9,1270.0,800.0,1910.0,0.0,47.6415,-122.315,2014
555000.0,3,2,1980.0,3478.0,1,0.0,0,4,7,1440.0,540.0,1929.0,0.0,47.6775,-122.372,2014
699950.0,3,2,2190.0,107593.0,2,0.0,0,4,8,2190.0,0.0,1983.0,0.0,47.7731,-122.08,2014
1088000.0,3,2,2920.0,8113.0,2,0.0,0,3,8,2920.0,0.0,1950.0,2010.0,47.5814,-122.196,2014
290000.0,3,1,1210.0,33919.0,1,0.0,0,3,7,1210.0,0.0,1954.0,0.0,47.4375,-122.184,2014
375000.0,3,2,2340.0,10005.0,1,0.0,0,4,8,1460.0,880.0,1978.0,0.0,47.4431,-122.133,2015
460000.0,3,1,1670.0,4005.0,1,0.0,0,4,7,1170.0,500.0,1939.0,0.0,47.6878,-122.38,2014
188500.0,2,1,1240.0,2493.0,1,0.0,0,4,8,1240.0,0.0,1985.0,0.0,47.3813,-122.322,2014
680000.0,4,2,3140.0,28037.0,2,0.0,0,4,10,3140.0,0.0,1991.0,0.0,47.7304,-122.082,2015
470000.0,5,1,2030.0,12342.0,2,0.0,0,4,7,2030.0,0.0,1942.0,0.0,47.6417,-122.109,2014
597750.0,4,2,2310.0,9624.0,2,0.0,0,3,8,2310.0,0.0,1984.0,0.0,47.5386,-122.053,2014
570000.0,3,1,1260.0,3328.0,1,0.0,0,5,6,700.0,560.0,1905.0,0.0,47.6823,-122.349,2015
272500.0,3,1,1540.0,12600.0,1,0.0,0,4,7,1160.0,380.0,1980.0,0.0,47.3624,-122.031,2014
329950.0,3,1,2080.0,5969.0,1,0.0,2,3,7,1080.0,1000.0,1971.0,0.0,47.5474,-122.295,2014
480000.0,4,2,3230.0,16171.0,2,0.0,3,3,9,2520.0,710.0,2001.0,0.0,47.3183,-122.253,2014
740500.0,3,3,4380.0,6350.0,2,0.0,0,3,8,2780.0,1600.0,1900.0,1999.0,47.6981,-122.368,2014
518500.0,3,3,1590.0,1102.0,3,0.0,0,3,8,1590.0,0.0,2010.0,0.0,47.6824,-122.347,2014
205425.0,2,1,880.0,6780.0,1,0.0,0,4,6,880.0,0.0,1945.0,0.0,47.5009,-122.248,2014
171800.0,4,2,1570.0,9600.0,1,0.0,0,3,6,1570.0,0.0,1950.0,0.0,47.4965,-122.303,2015
535000.0,4,1,1610.0,2982.0,1,0.0,0,4,7,1610.0,0.0,1925.0,0.0,47.587,-122.294,2015
660000.0,3,2,2400.0,6474.0,1,0.0,2,3,8,1560.0,840.0,1964.0,0.0,47.7728,-122.386,2015
391500.0,3,2,1450.0,9132.0,1,0.0,0,3,7,1450.0,0.0,1987.0,0.0,47.7288,-122.226,2014
395000.0,2,1,770.0,6000.0,1,0.0,0,3,6,770.0,0.0,1953.0,0.0,47.6999,-122.364,2015
445000.0,4,1,2100.0,4400.0,1,0.0,0,5,7,1720.0,380.0,1924.0,0.0,47.5299,-122.266,2014
770000.0,3,2,2910.0,10204.0,2,0.0,0,3,9,2910.0,0.0,1990.0,0.0,47.6897,-122.098,2014
1450000.0,4,2,2750.0,17789.0,1,0.0,0,3,8,1980.0,770.0,1914.0,1992.0,47.6141,-122.212,2015
445000.0,3,2,2100.0,8201.0,1,0.0,2,3,8,1620.0,480.0,1967.0,0.0,47.5091,-122.244,2014
260000.0,4,2,2160.0,8811.0,1,0.0,0,3,8,1360.0,800.0,1978.0,0.0,47.3129,-122.39,2014
822500.0,5,3,2320.0,4960.0,2,0.0,0,5,7,1720.0,600.0,1926.0,0.0,47.6763,-122.352,2014
430000.0,4,2,2070.0,4310.0,2,0.0,0,3,7,2070.0,0.0,2004.0,0.0,47.5319,-121.85,2015
