price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,sqft_total
221900,3.0,1,1,0,0,3,7.0,1955,0,47.5112,-122.257,8010.0
538000,3.0,2,2,0,0,3,7.0,1951,1991,47.721,-122.319,12382.0
180000,2.0,1,1,0,0,3,6.0,1933,0,47.7379,-122.233,11540.0
604000,4.0,3,1,0,0,5,7.0,1965,0,47.5208,-122.393,8920.0
510000,3.0,2,1,0,0,3,8.0,1987,0,47.6168,-122.045,11440.0
1129912,4.0,3,1,0,0,3,9.5,2001,0,47.6561,-122.005,111300.0
257500,3.0,2,2,0,0,3,7.0,1995,0,47.3097,-122.327,10249.0
291850,3.0,1,1,0,0,3,7.0,1963,0,47.4095,-122.315,11831.0
229500,3.0,1,1,0,0,3,7.0,1960,0,47.5123,-122.337,11030.0
323000,3.0,2,2,0,0,3,7.0,2003,0,47.3684,-122.031,10340.0
662500,3.0,2,1,0,0,3,8.0,1965,0,47.6007,-122.145,16616.0
468000,2.0,1,1,0,0,4,7.0,1942,0,47.69,-122.292,8320.0
310000,3.0,1,1,0,0,4,7.0,1927,0,47.7558,-122.229,22761.0
400000,3.0,1,1,0,0,4,7.0,1977,0,47.6127,-122.045,12420.0
530000,5.0,2,1,0,0,3,7.0,1900,0,47.67,-122.394,8470.0
650000,4.0,3,2,0,3,3,9.0,1979,0,47.5714,-122.375,10900.0
395000,3.0,2,2,0,0,3,7.0,1994,0,47.7277,-121.962,17820.0
485000,4.0,1,1,0,0,4,7.0,1916,0,47.6648,-122.343,7500.0
189000,2.0,1,1,0,0,4,7.0,1921,0,47.3089,-122.21,12250.0
230000,3.0,1,1,0,0,4,7.0,1969,0,47.3343,-122.306,12274.0
385000,4.0,1,1,0,0,4,7.0,1947,0,47.7025,-122.341,8220.0
1129912,3.0,2,1,0,4,3,9.0,1968,0,47.5316,-122.233,50967.0
285000,5.0,2,2,0,0,3,8.0,1995,0,47.3266,-122.169,10840.0
252700,2.0,1,1,0,0,3,7.0,1985,0,47.3533,-122.166,11783.0
329000,3.0,2,2,0,0,4,8.0,1985,0,47.3739,-122.172,11400.0
233000,3.0,2,1,0,0,5,6.0,1941,0,47.3048,-122.218,8117.0
937000,3.0,1,2,0,0,3,8.0,1915,0,47.6386,-122.36,7591.0
667000,3.0,1,1,0,0,5,8.0,1909,0,47.6221,-122.314,4381.0
438000,3.0,1,1,0,0,3,7.0,1948,0,47.695,-122.304,9420.0
719000,4.0,2,2,0,0,3,8.0,2005,0,47.7073,-122.11,12313.0
580500,3.0,2,2,0,0,3,8.0,2003,0,47.5391,-122.07,8620.0
280000,2.0,1,3,0,0,3,7.0,2005,0,47.7274,-122.357,3645.0
687500,4.0,1,1,0,0,4,7.0,1929,0,47.6823,-122.368,9660.0
535000,3.0,1,1,0,0,4,8.0,1929,0,47.6889,-122.375,5180.0
322500,4.0,2,1,0,0,3,7.0,1981,0,47.4276,-122.157,10779.0
696000,3.0,2,1,0,0,3,8.0,1930,2002,47.6827,-122.31,7660.0
